epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,4102.69,1.3938,3.05666,0.1368,0.89326,1.30643,0.77439,0.80274,0.79766,0.48632,0.69384,0.72746,0.70673,0.46273,1.35865,2.57756,0.01865,0.77735,1.42026,0.000847813,0.000847813,0.000847813
28,4253.52,1.38307,3.01739,0.1373,0.88545,1.30054,0.76323,0.80797,0.80766,0.49198,0.68293,0.73407,0.71878,0.47018,1.34931,2.546,0.01739,0.75933,1.42019,0.000832344,0.000832344,0.000832344
29,4404.08,1.37554,2.9769,0.13469,0.87614,1.29575,0.79119,0.81513,0.81418,0.4946,0.70672,0.73953,0.71785,0.46482,1.37536,2.54613,0.01887,0.7534,1.43834,0.000816875,0.000816875,0.000816875
30,4555.83,1.3714,2.95564,0.13491,0.87462,1.29562,0.79052,0.81565,0.81661,0.49807,0.70244,0.72746,0.71329,0.47507,1.34549,2.54296,0.01676,0.74981,1.41373,0.000801406,0.000801406,0.000801406
31,4706.91,1.36692,2.94958,0.13342,0.86847,1.28995,0.77857,0.80556,0.80646,0.49598,0.69338,0.73229,0.70696,0.4721,1.35747,2.54211,0.01593,0.74432,1.42955,0.000785938,0.000785938,0.000785938
32,4858.87,1.36226,2.93889,0.13281,0.86435,1.28621,0.80071,0.81339,0.81541,0.49855,0.70558,0.7343,0.71309,0.47428,1.33828,2.53545,0.01593,0.73088,1.41884,0.000770469,0.000770469,0.000770469
33,5010.95,1.36034,2.90872,0.1312,0.85949,1.28148,0.78563,0.80878,0.81416,0.4998,0.71997,0.73027,0.71782,0.4765,1.34005,2.51768,0.01441,0.74046,1.41011,0.000755,0.000755,0.000755
34,5165.67,1.35235,2.88205,0.13167,0.84999,1.28182,0.77826,0.82005,0.80907,0.49623,0.70462,0.74477,0.71915,0.47731,1.33464,2.52319,0.01316,0.73765,1.42099,0.000739531,0.000739531,0.000739531
35,5317.68,1.34762,2.86944,0.1271,0.8509,1.28337,0.77802,0.81256,0.80902,0.49152,0.70437,0.73792,0.70793,0.46385,1.34131,2.52841,0.01585,0.73971,1.42601,0.000724062,0.000724062,0.000724062
36,5469.21,1.35051,2.88159,0.12862,0.8427,1.28322,0.78104,0.82005,0.80888,0.4925,0.6893,0.74235,0.70896,0.47032,1.36056,2.54252,0.01597,0.74239,1.43076,0.000708594,0.000708594,0.000708594
37,5621.94,1.33894,2.83478,0.12922,0.83842,1.27042,0.77873,0.82342,0.80799,0.48517,0.69622,0.75805,0.71331,0.47124,1.36067,2.5025,0.01297,0.74425,1.4307,0.000693125,0.000693125,0.000693125
38,5776.31,1.33373,2.82297,0.12592,0.83336,1.27201,0.78481,0.82689,0.80661,0.49453,0.71484,0.73913,0.71756,0.46901,1.34676,2.52046,0.01203,0.73544,1.41945,0.000677656,0.000677656,0.000677656
39,5929.78,1.33052,2.79902,0.12552,0.83193,1.26781,0.78895,0.82327,0.80926,0.48995,0.71509,0.74517,0.71061,0.46994,1.34931,2.5362,0.01228,0.73962,1.41847,0.000662188,0.000662188,0.000662188
40,6081.91,1.3298,2.7843,0.12675,0.82932,1.26564,0.78731,0.81683,0.81042,0.4935,0.71406,0.74453,0.71957,0.47124,1.34488,2.4953,0.01155,0.73578,1.42001,0.000646719,0.000646719,0.000646719
41,6234.52,1.31693,2.75619,0.12481,0.82337,1.26022,0.77266,0.82085,0.80521,0.49389,0.70431,0.73347,0.70616,0.46983,1.35292,2.5225,0.0144,0.73072,1.43006,0.00063125,0.00063125,0.00063125
42,6387.52,1.31099,2.75369,0.12666,0.82236,1.26109,0.79142,0.82206,0.80855,0.49065,0.71848,0.74436,0.72014,0.47589,1.35401,2.48901,0.0136,0.73112,1.42401,0.000615781,0.000615781,0.000615781
43,6539.96,1.31556,2.7367,0.12292,0.82186,1.25865,0.78649,0.81965,0.81093,0.49325,0.71232,0.74206,0.71402,0.47426,1.35364,2.50133,0.01259,0.73304,1.41839,0.000600313,0.000600313,0.000600313
44,6693.42,1.3076,2.74823,0.12397,0.81688,1.2578,0.80213,0.80958,0.81683,0.49344,0.72242,0.73158,0.71071,0.47534,1.34533,2.50436,0.01414,0.72149,1.42406,0.000584844,0.000584844,0.000584844
45,6847.29,1.30286,2.67688,0.12105,0.8105,1.25784,0.78711,0.82126,0.81546,0.49023,0.71389,0.73833,0.70565,0.46743,1.35437,2.50785,0.01275,0.72924,1.42855,0.000569375,0.000569375,0.000569375
46,6999.61,1.30075,2.66397,0.12239,0.80821,1.25316,0.79972,0.82367,0.81728,0.48967,0.7115,0.73557,0.70532,0.46769,1.35856,2.51344,0.01294,0.71789,1.43463,0.000553906,0.000553906,0.000553906
47,7152.35,1.28675,2.65026,0.12107,0.79828,1.24558,0.79644,0.82448,0.80951,0.49263,0.72846,0.74361,0.71735,0.48122,1.34885,2.5054,0.01317,0.71118,1.42628,0.000538438,0.000538438,0.000538438
48,7306.69,1.28566,2.65134,0.12249,0.79922,1.24723,0.77762,0.82416,0.80376,0.48753,0.71641,0.73769,0.71046,0.46587,1.34519,2.53843,0.01542,0.72213,1.42762,0.000522969,0.000522969,0.000522969
49,7460.37,1.28507,2.62012,0.11795,0.79324,1.24582,0.79198,0.82649,0.8114,0.49638,0.71008,0.73953,0.70757,0.47909,1.33944,2.50676,0.01386,0.70544,1.42872,0.0005075,0.0005075,0.0005075
50,7614.3,1.27268,2.6124,0.11767,0.78192,1.23652,0.78251,0.81965,0.80781,0.49578,0.73653,0.72776,0.71004,0.47513,1.33743,2.49341,0.01269,0.7133,1.41958,0.000492031,0.000492031,0.000492031
51,7766.86,1.28029,2.61249,0.11907,0.78898,1.24459,0.78716,0.82568,0.81161,0.49638,0.72648,0.73551,0.72054,0.47802,1.34614,2.49643,0.01179,0.717,1.42666,0.000476562,0.000476562,0.000476562
